date,ticker,price
2024-01-01,AAPL,149.07882608734138
2024-01-02,AAPL,148.30635503422266
2024-01-03,AAPL,147.56926046736038
2024-01-04,AAPL,147.15126102435178
2024-01-05,AAPL,147.04269076920602
2024-01-06,AAPL,147.4676048719288
2024-01-07,AAPL,148.15003225756467
2024-01-08,AAPL,148.3364759055039
2024-01-09,AAPL,148.75245459962767
2024-01-10,AAPL,149.77293681946998
2024-01-11,AAPL,151.9251754166683
2024-01-12,AAPL,152.26924479135985
2024-01-13,AAPL,153.0268102133858
2024-01-14,AAPL,154.14498934894021
2024-01-15,AAPL,154.2041238737052
2024-01-16,AAPL,152.14058282896005
2024-01-17,AAPL,152.00244383228826
2024-01-18,AAPL,154.0313663601254
2024-01-19,AAPL,152.748247100684
2024-01-20,AAPL,152.95163038181244
